,Type,Date,City,Officer-defined ethnicity,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
9545,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9546,Person search,2020-05,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
9547,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9548,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9549,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9550,Person search,2020-05,Colchester,White,White - Any other White background,Male,18-24,False,A no further action disposal
9551,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
9552,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9553,Person search,2020-05,Colchester,White,White - Any other White background,Male,over 34,False,A no further action disposal
9554,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9555,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
9556,Person search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
9557,Person search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,over 34,False,A no further action disposal
9558,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9559,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9560,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9561,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9562,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9563,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9564,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9565,Person search,2020-05,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
9566,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
9567,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,A no further action disposal
9568,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9569,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9570,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9571,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9572,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9573,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
9574,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
9575,Person search,2020-05,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,A no further action disposal
9576,Person search,2020-05,Colchester,White,White - Any other White background,Male,over 34,False,A no further action disposal
9577,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9578,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9579,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9580,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9581,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9582,Person search,2020-05,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,A no further action disposal
9583,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9584,Person search,2020-05,Colchester,Other,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
9585,Person search,2020-05,Colchester,Asian,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9586,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9587,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9588,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9589,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9590,Person search,2020-05,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
9591,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9592,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
9593,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,True,Arrest
9594,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
9595,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Khat or Cannabis warning
9596,Person search,2020-05,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,over 34,False,A no further action disposal
9597,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Khat or Cannabis warning
9598,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
9599,Person and Vehicle search,2020-05,Colchester,Other,Mixed/Multiple ethnic groups - White and Asian,Male,18-24,False,A no further action disposal
9600,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9601,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
9602,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9603,Person search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,10-17,False,A no further action disposal
9604,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9605,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9606,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9607,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Khat or Cannabis warning
9608,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9609,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9610,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9611,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9612,Person search,2020-05,Colchester,Other,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,18-24,False,A no further action disposal
9613,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9614,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9615,Person search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
9616,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9617,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9618,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9619,Person search,2020-05,Colchester,Other,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
9620,Person search,2020-05,Colchester,Other,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
9621,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9622,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9623,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9624,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9625,Person search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,25-34,False,A no further action disposal
9626,Person search,2020-05,Colchester,White,White - Any other White background,Male,over 34,False,A no further action disposal
9627,Person search,2020-05,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
9628,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
9629,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
9630,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
9631,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9632,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9633,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9634,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9635,Person search,2020-05,Colchester,Other,Mixed/Multiple ethnic groups - White and Asian,Female,18-24,False,A no further action disposal
9636,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9637,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9638,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9639,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9640,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
9641,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9642,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
9643,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9644,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Community resolution
9645,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9646,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
9647,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9648,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
9649,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
9650,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9651,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
9652,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
9653,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
9654,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9655,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9656,Person search,2020-05,Colchester,White,White - Any other White background,Male,18-24,False,A no further action disposal
9657,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
9658,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9659,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
9660,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
9661,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
9662,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
9663,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
9664,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9665,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
9666,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9667,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
9668,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9669,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9670,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9671,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9672,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9673,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
9674,Person and Vehicle search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,False,A no further action disposal
9675,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9676,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9677,Person search,2020-05,Colchester,Asian,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
9678,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9679,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9680,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9681,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9682,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9683,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
9684,Person and Vehicle search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,10-17,False,A no further action disposal
9685,Person and Vehicle search,2020-05,Colchester,White,White - Any other White background,Male,18-24,False,A no further action disposal
9686,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,Caution (simple or conditional)
9687,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9688,Person search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Female,18-24,False,A no further action disposal
9689,Person search,2020-05,Colchester,Other,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,18-24,False,A no further action disposal
9690,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9691,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9692,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
9693,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,A no further action disposal
9694,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9695,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9696,Person and Vehicle search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,25-34,False,A no further action disposal
9697,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9698,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
9699,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
9700,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9701,Person search,2020-05,Colchester,White,White - Any other White background,Female,18-24,False,A no further action disposal
9702,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
9703,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,A no further action disposal
9704,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9705,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9706,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9707,Person search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,18-24,False,A no further action disposal
9708,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9709,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9710,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,A no further action disposal
9711,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9712,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
9713,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9714,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9715,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9716,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9717,Person search,2020-05,Colchester,White,White - Any other White background,Male,over 34,False,A no further action disposal
9718,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9719,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9720,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9721,Person search,2020-05,Colchester,White,White - Any other White background,Male,18-24,False,A no further action disposal
9722,Person search,2020-05,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,Khat or Cannabis warning
9723,Person search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,18-24,False,A no further action disposal
9724,Person and Vehicle search,2020-05,Colchester,Asian,Asian/Asian British - Bangladeshi,Male,18-24,False,A no further action disposal
9725,Person search,2020-05,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,A no further action disposal
9726,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
9727,Person and Vehicle search,2020-05,Colchester,Asian,Asian/Asian British - Bangladeshi,Male,18-24,False,A no further action disposal
9728,Person search,2020-05,Colchester,Asian,Asian/Asian British - Bangladeshi,Male,18-24,False,A no further action disposal
9729,Person and Vehicle search,2020-05,Colchester,Asian,Asian/Asian British - Bangladeshi,Male,25-34,False,A no further action disposal
9730,Person search,2020-05,Colchester,Asian,Asian/Asian British - Bangladeshi,Male,25-34,False,A no further action disposal
9731,Person search,2020-05,Colchester,Asian,Asian/Asian British - Bangladeshi,Male,18-24,False,A no further action disposal
9732,Person search,2020-05,Colchester,Asian,Asian/Asian British - Bangladeshi,Male,18-24,False,A no further action disposal
9733,Person and Vehicle search,2020-05,Colchester,Asian,Asian/Asian British - Bangladeshi,Male,18-24,False,A no further action disposal
9734,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9735,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
9736,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
9737,Person search,2020-05,Colchester,White,Black/African/Caribbean/Black British - Caribbean,Male,over 34,False,A no further action disposal
9738,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
9739,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9740,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
9741,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9742,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9743,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9744,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9745,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9746,Person search,2020-05,Colchester,White,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
9747,Person search,2020-05,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
9748,Person and Vehicle search,2020-05,Colchester,White,White - Any other White background,Male,18-24,False,Khat or Cannabis warning
9749,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9750,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9751,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9752,Person and Vehicle search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - African,Male,25-34,False,A no further action disposal
9753,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9754,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Community resolution
9755,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9756,Person and Vehicle search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - African,Male,25-34,False,A no further action disposal
9757,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9758,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9759,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Khat or Cannabis warning
9760,Person search,2020-05,Colchester,Other,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,18-24,False,Community resolution
9761,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9762,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
9763,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
9764,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
9765,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9766,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
9767,Person and Vehicle search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9768,Person search,2020-05,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,25-34,False,A no further action disposal
9769,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9770,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9771,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Summons / charged by post
9772,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9773,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9774,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Community resolution
9775,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
9776,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Khat or Cannabis warning
9777,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9778,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
9779,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
9780,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
9781,Person search,2020-05,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
9782,Person search,2020-05,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
