,Type,Date,City,Officer-defined ethnicity,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
14601,Person search,2020-07,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,10-17,False,A no further action disposal
14602,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
14603,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
14604,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14605,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Khat or Cannabis warning
14606,Person search,2020-07,Colchester,White,White - Any other White background,Male,25-34,False,Arrest
14607,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
14608,Person search,2020-07,Colchester,White,White - Any other White background,Male,18-24,False,A no further action disposal
14609,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
14610,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
14611,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
14612,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
14613,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14614,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14615,Person and Vehicle search,2020-07,Colchester,Black,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
14616,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14617,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14618,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14619,Person search,2020-07,Colchester,Other,Other ethnic group - Not stated,Female,10-17,False,A no further action disposal
14620,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
14621,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Arrest
14622,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
14623,Person search,2020-07,Colchester,Black,Black/African/Caribbean/Black British - African,Female,25-34,False,A no further action disposal
14624,Person search,2020-07,Colchester,Black,Black/African/Caribbean/Black British - African,Female,10-17,False,A no further action disposal
14625,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
14626,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
14627,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,Arrest
14628,Person search,2020-07,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,25-34,False,A no further action disposal
14629,Person and Vehicle search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,25-34,False,Arrest
14630,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
14631,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
14632,Person and Vehicle search,2020-07,Colchester,Black,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
14633,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14634,Person search,2020-07,Colchester,Black,Mixed/Multiple ethnic groups - White and Black African,Male,10-17,False,Community resolution
14635,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14636,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14637,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14638,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14639,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14640,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14641,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
14642,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14643,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
14644,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
14645,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
14646,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14647,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14648,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14649,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14650,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
14651,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
14652,Person search,2020-07,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,10-17,False,A no further action disposal
14653,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14654,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Khat or Cannabis warning
